,net,batch,size,utility,total_cost,total_time,total_op_cost,total_noc_cost,total_access_cost,dram,other,elapsed,opt_goal,np,version
b1_12x12_goog,googlenet,1,12,13.101221071261362,2211507775.3953,82588,28718627.327999998,906501377.5999999,1276287770.4673,693428460.0,582859310.4672999,8630.378124952316,ed,4,2.1+v2.1-7-gc9cbe9d-2fc18a21d-fd621848
b1_12x12_res,resnet50,1,12,8.226116413854959,6150171854.097079,319122,69676535.808,2040972292.8,4039523025.48908,2689207080.0,1350315945.48908,18323.92081093788,ed,4,2.1+v2.1-7-gc9cbe9d-2fc18a21d-fd621848
b1_4x4_goog,googlenet,1,4,12.075843697219515,1526827715.924199,806406,28718627.327999998,229773672.79999998,1268335415.7962,754846920.0,513488495.79620004,4419.245985746384,ed,4,2.1+v2.1-7-gc9cbe9d-2fc18a21d-fd621848
b1_4x4_res,resnet50,1,4,8.590331655229235,4456613446.734679,2750326,69676535.808,500738683.2,3886198227.7266803,2624124360.0,1262073867.7266803,5009.996591567993,ed,4,2.1+v2.1-7-gc9cbe9d-2fc18a21d-fd621848
b64_12x12_goog,googlenet,64,12,31.46718687684103,79493714763.55997,2200649,1837992148.9919999,28146070629.6,49509651984.968,16980727080.0,32528924904.968002,53704.26254439354,ed,4,2.1+v2.1-7-gc9cbe9d-2fc18a21d-fd621848
b64_12x12_res,resnet50,64,12,18.03618971361098,223734647477.5619,9315084,4459298291.712,66107039762.399994,153168309423.44992,73823618280.0,79344691143.44992,222515.90128660202,ed,4,2.1+v2.1-7-gc9cbe9d-2fc18a21d-fd621848
b64_4x4_goog,googlenet,64,4,25.36704599694953,60416577723.0656,24568651,1837992148.9919999,5620482291.2,52958103282.8736,21796370880.0,31161732402.873596,20162.485377073288,ed,4,2.1+v2.1-7-gc9cbe9d-2fc18a21d-fd621848
b64_4x4_res,resnet50,64,4,18.915862221879006,164374863245.9251,79937017,4459298291.712,12025654681.599998,147889910272.6131,70987338240.0,76902572032.6131,107683.27172136307,ed,4,2.1+v2.1-7-gc9cbe9d-2fc18a21d-fd621848
b8_12x12_goog,googlenet,8,12,27.204305552936543,10980531105.2024,318186,229749018.62399998,4164200291.9999995,6586581794.5784,2455989960.0,4130591834.5783997,24219.686941623688,ed,4,2.1+v2.1-7-gc9cbe9d-2fc18a21d-fd621848
b8_12x12_res,resnet50,8,12,16.263251180595514,30823148281.966255,1291321,557412286.464,9355567205.599998,20910168789.90224,10764204360.0,10145964429.90224,70021.60830307007,ed,4,2.1+v2.1-7-gc9cbe9d-2fc18a21d-fd621848
b8_4x4_goog,googlenet,8,4,22.63721718102739,8098210799.577599,3441424,229749018.62399998,852468131.1999999,7015993649.753599,3092416800.0,3923576849.753599,13984.294414520264,ed,4,2.1+v2.1-7-gc9cbe9d-2fc18a21d-fd621848
b8_4x4_res,resnet50,8,4,17.304956370401182,22389217845.17824,10922287,557412286.464,1975221203.1999998,19856584355.51424,10202661600.0,9653922755.51424,29256.81434416771,ed,4,2.1+v2.1-7-gc9cbe9d-2fc18a21d-fd621848
